field,dtype,orig_name,example,drop,groupby,round
xml_ch02_st_resSW,float,measurement.Selftest.AdbBoards.channel[2].Resistivity_connS_or_connW_connGND,1.10393,0,first,1
xml_ch02_st_severity,str,measurement.Selftest.AdbBoards.channel[2].Severity,OK,0,first,
xml_ch03_amplitude_max,float,measurement.Selftest.AdbBoards.channel[3].MaxAmplitude,0.362933,0,first,2
xml_ch03_ch_type,str,measurement.recording.output.ProcessingTree.output.ATSWriter.configuration.channel[3].channel_type,Hx,0,first,
xml_ch03_filter_type,str,measurement.recording.input.Hardware.channel_config.channel[3].filter_type,LF_RF_2,1,first,
xml_ch03_sensor_type,str,measurement.recording.output.ProcessingTree.output.ATSWriter.configuration.channel[3].sensor_type,MFS06e,0,first,
xml_ch03_ser_num,str,measurement.recording.output.ProcessingTree.output.ATSWriter.configuration.channel[3].sensor_sernum,3333,0,first,
xml_ch03_st_adb_error,float,measurement.Selftest.AdbBoards.channel[3].AdbError,0,0,first,
xml_ch03_st_dc_offset,float,measurement.Selftest.AdbBoards.channel[3].DCOffset,-2.72018,0,first,2
xml_ch03_st_lsb_hf,float,measurement.Selftest.AdbBoards.channel[3].HF_LSB,1.19E-06,0,first,
xml_ch03_st_lsb_lf,float,measurement.Selftest.AdbBoards.channel[3].LF_LSB,5.97E-07,0,first,
xml_ch03_st_res,float,measurement.Selftest.AdbBoards.channel[3].Resistivity,19985.1,0,first,1
xml_ch03_st_resNE,float,measurement.Selftest.AdbBoards.channel[3].Resistivity_connN_or_connE_connGND,19984.8,0,first,1
xml_ch03_st_resSW,float,measurement.Selftest.AdbBoards.channel[3].Resistivity_connS_or_connW_connGND,19985,0,first,1
xml_ch03_st_severity,str,measurement.Selftest.AdbBoards.channel[3].Severity,OK,0,first,
xml_ch04_amplitude_max,float,measurement.Selftest.AdbBoards.channel[4].MaxAmplitude,0.338652,0,first,2
xml_ch04_ch_type,str,measurement.recording.output.ProcessingTree.output.ATSWriter.configuration.channel[4].channel_type,Hy,0,first,
xml_ch04_filter_type,str,measurement.recording.input.Hardware.channel_config.channel[4].filter_type,LF_RF_2,1,first,
xml_ch04_sensor_type,str,measurement.recording.output.ProcessingTree.output.ATSWriter.configuration.channel[4].sensor_type,MFS06e,0,first,
xml_ch04_ser_num,str,measurement.recording.output.ProcessingTree.output.ATSWriter.configuration.channel[4].sensor_sernum,5555,0,first,
xml_ch04_st_adb_error,float,measurement.Selftest.AdbBoards.channel[4].AdbError,0,0,first,
xml_ch04_st_dc_offset,float,measurement.Selftest.AdbBoards.channel[4].DCOffset,1.02181,0,first,2
xml_ch04_st_lsb_hf,float,measurement.Selftest.AdbBoards.channel[4].HF_LSB,1.19E-06,0,first,
xml_ch04_st_lsb_lf,float,measurement.Selftest.AdbBoards.channel[4].LF_LSB,5.98E-07,0,first,
xml_ch04_st_res,float,measurement.Selftest.AdbBoards.channel[4].Resistivity,19976.7,0,first,1
xml_ch04_st_resNE,float,measurement.Selftest.AdbBoards.channel[4].Resistivity_connN_or_connE_connGND,19976.4,0,first,1
xml_ch04_st_resSW,float,measurement.Selftest.AdbBoards.channel[4].Resistivity_connS_or_connW_connGND,19976.6,0,first,1
xml_ch04_st_severity,str,measurement.Selftest.AdbBoards.channel[4].Severity,OK,0,first,
xml_ch05_amplitude_max,float,measurement.Selftest.AdbBoards.channel[5].MaxAmplitude,0.319161,0,first,2
xml_ch05_ch_type,str,measurement.recording.output.ProcessingTree.output.ATSWriter.configuration.channel[5].channel_type,Hz,0,first,
xml_ch05_filter_type,str,measurement.recording.input.Hardware.channel_config.channel[5].filter_type,LF_RF_2,1,first,
xml_ch05_sensor_type,str,measurement.recording.output.ProcessingTree.output.ATSWriter.configuration.channel[5].sensor_type,MFS06e,0,first,
xml_ch05_ser_num,str,measurement.recording.output.ProcessingTree.output.ATSWriter.configuration.channel[5].sensor_sernum,4444,0,first,
xml_ch05_st_adb_error,float,measurement.Selftest.AdbBoards.channel[5].AdbError,0,0,first,
xml_ch05_st_dc_offset,float,measurement.Selftest.AdbBoards.channel[5].DCOffset,-1.01147,0,first,2
xml_ch05_st_lsb_hf,float,measurement.Selftest.AdbBoards.channel[5].HF_LSB,1.19E-06,0,first,
xml_ch05_st_lsb_lf,float,measurement.Selftest.AdbBoards.channel[5].LF_LSB,5.97E-07,0,first,
xml_ch05_st_res,float,measurement.Selftest.AdbBoards.channel[5].Resistivity,19993,0,first,1
xml_ch05_st_resNE,float,measurement.Selftest.AdbBoards.channel[5].Resistivity_connN_or_connE_connGND,19992.7,0,first,1
xml_ch05_st_resSW,float,measurement.Selftest.AdbBoards.channel[5].Resistivity_connS_or_connW_connGND,19992.6,0,first,1
xml_ch05_st_severity,str,measurement.Selftest.AdbBoards.channel[5].Severity,OK,0,first,
xml_ch06_amplitude_max,float,measurement.Selftest.AdbBoards.channel[6].MaxAmplitude,0,1,,
xml_ch06_ch_type,str,measurement.recording.output.ProcessingTree.output.ATSWriter.configuration.channel[6].channel_type,Ex,1,,
xml_ch06_sensor_type,str,measurement.recording.output.ProcessingTree.output.ATSWriter.configuration.channel[6].sensor_type,EFP06,1,,
xml_ch06_ser_num,str,measurement.recording.output.ProcessingTree.output.ATSWriter.configuration.channel[6].sensor_sernum,0,1,,
xml_ch06_st_adb_error,float,measurement.Selftest.AdbBoards.channel[6].AdbError,0,1,,
xml_ch06_st_dc_offset,float,measurement.Selftest.AdbBoards.channel[6].DCOffset,0,1,,
xml_ch06_st_lsb_hf,float,measurement.Selftest.AdbBoards.channel[6].HF_LSB,1.19E-06,1,,
xml_ch06_st_lsb_lf,float,measurement.Selftest.AdbBoards.channel[6].LF_LSB,5.97E-07,1,,
xml_ch06_st_res,float,measurement.Selftest.AdbBoards.channel[6].Resistivity,0,1,first,1
xml_ch06_st_resNE,float,measurement.Selftest.AdbBoards.channel[6].Resistivity_connN_or_connE_connGND,0,1,first,1
xml_ch06_st_resSW,float,measurement.Selftest.AdbBoards.channel[6].Resistivity_connS_or_connW_connGND,0,1,first,1
xml_ch06_st_severity,str,measurement.Selftest.AdbBoards.channel[6].Severity,OK,1,,
xml_disk_space_free,float,measurement.HwStatus.System.DiskFreeSpace,29014108,0,last,
xml_disk_space_total,float,measurement.HwStatus.System.DiskSize,30638936,0,last,
xml_freq_base,str,measurement.recording.input.TXM22Hardware.Sequence.TransmissionList.Cycle.BaseFrequency,1,0,list,
xml_freq_cal,str,measurement.recording.input.Hardware.global_config.calfreq,16384,0,list,
xml_freq_sample,str,measurement.recording.input.Hardware.global_config.sample_freq,4096,0,list,
xml_gps_dynamic_mode,float,measurement.HwStatus.GPS.DynamicMode,0,0,,
xml_gps_height,float,measurement.HwStatus.GPS.Height,0,0,median,
xml_gps_num_sats,float,measurement.HwStatus.GPS.NumSats,3,0,mean,
xml_gps_sync,float,measurement.HwStatus.GPS.SyncState,0,0,mean,
xml_meas_mode,str,measurement.HwStatus.Recording.Measurements.Meas.Mode,HF,0,list,
xml_meas_type,str,measurement.recording.output.ProcessingTree.output.ATSWriter.configuration.meas_type,CSAMT,0,first,
xml_num_of_ch,float,measurement.recording.input.Hardware.global_config.meas_channels,5,0,mean,
xml_rec_duration,float,,,0,sum,
xml_rec_duration_str,str,,,0,,
xml_rec_end,datetime64[ms],,,0,last,
xml_rec_end_date,str,measurement.recording.stop_date,3/12/2024,0,,
xml_rec_end_time,str,measurement.recording.stop_time,9:50:07,0,,
xml_rec_start,datetime64[ms],,,0,first,
xml_rec_start_date,str,measurement.recording.start_date,3/12/2024,0,,
xml_rec_start_time,str,measurement.recording.start_time,9:49:07,0,,
xml_x,float,measurement.HwStatus.GPS.Longitude,0,0,median,
xml_y,float,measurement.HwStatus.GPS.Latitude,0,0,median,
measurement_calibration_channels_channel_1__calibration_1__cal_version,str,measurement.calibration_channels.channel[1].calibration[1].cal_version,1,1,,
measurement_calibration_channels_channel_1__calibration_1__caldata_1__c0,str,measurement.calibration_channels.channel[1].calibration[1].caldata[1].c0,1,1,,
measurement_calibration_channels_channel_1__calibration_1__caldata_10__c0,str,measurement.calibration_channels.channel[1].calibration[1].caldata[10].c0,0.99997389,1,,
measurement_calibration_channels_channel_1__calibration_1__caldata_11__c0,str,measurement.calibration_channels.channel[1].calibration[1].caldata[11].c0,1.00018501,1,,
measurement_calibration_channels_channel_1__calibration_1__caldata_12__c0,str,measurement.calibration_channels.channel[1].calibration[1].caldata[12].c0,1.00014412,1,,
measurement_calibration_channels_channel_1__calibration_1__caldata_13__c0,str,measurement.calibration_channels.channel[1].calibration[1].caldata[13].c0,1.00050843,1,,
measurement_calibration_channels_channel_1__calibration_1__caldata_14__c0,str,measurement.calibration_channels.channel[1].calibration[1].caldata[14].c0,1.00112689,1,,
measurement_calibration_channels_channel_1__calibration_1__caldata_2__c0,str,measurement.calibration_channels.channel[1].calibration[1].caldata[2].c0,0.99966669,1,,
measurement_calibration_channels_channel_1__calibration_1__caldata_3__c0,str,measurement.calibration_channels.channel[1].calibration[1].caldata[3].c0,0.99952638,1,,
measurement_calibration_channels_channel_1__calibration_1__caldata_4__c0,str,measurement.calibration_channels.channel[1].calibration[1].caldata[4].c0,0.99981076,1,,
measurement_calibration_channels_channel_1__calibration_1__caldata_5__c0,str,measurement.calibration_channels.channel[1].calibration[1].caldata[5].c0,0.9998697,1,,
measurement_calibration_channels_channel_1__calibration_1__caldata_6__c0,str,measurement.calibration_channels.channel[1].calibration[1].caldata[6].c0,0.9999128,1,,
measurement_calibration_channels_channel_1__calibration_1__caldata_7__c0,str,measurement.calibration_channels.channel[1].calibration[1].caldata[7].c0,1.00012934,1,,
measurement_calibration_channels_channel_1__calibration_1__caldata_8__c0,str,measurement.calibration_channels.channel[1].calibration[1].caldata[8].c0,1,1,,
measurement_calibration_channels_channel_1__calibration_1__caldata_9__c0,str,measurement.calibration_channels.channel[1].calibration[1].caldata[9].c0,1.00002635,1,,
measurement_calibration_channels_channel_1__calibration_1__calibrated_item_ci,str,measurement.calibration_channels.channel[1].calibration[1].calibrated_item.ci,ADU-07-LF,1,,
measurement_calibration_channels_channel_1__calibration_1__calibrated_item_ci_calibration_valid_until,str,measurement.calibration_channels.channel[1].calibration[1].calibrated_item.ci_calibration_valid_until,2024-06-21 15-44-38,1,,
measurement_calibration_channels_channel_1__calibration_1__calibrated_item_ci_date,str,measurement.calibration_channels.channel[1].calibration[1].calibrated_item.ci_date,3/23/2024,1,,
measurement_calibration_channels_channel_1__calibration_1__calibrated_item_ci_manufacturer,str,measurement.calibration_channels.channel[1].calibration[1].calibrated_item.ci_manufacturer,Metronix,1,,
measurement_calibration_channels_channel_1__calibration_1__calibrated_item_ci_manufacturers_address,str,measurement.calibration_channels.channel[1].calibration[1].calibrated_item.ci_manufacturers_address,KocherStr. 3; 38120 Braunschweig; Germany,1,,
measurement_calibration_channels_channel_1__calibration_1__calibrated_item_ci_next_calibration,str,measurement.calibration_channels.channel[1].calibration[1].calibrated_item.ci_next_calibration,2024-06-21 15-44-38,1,,
measurement_calibration_channels_channel_1__calibration_1__calibrated_item_ci_revision,str,measurement.calibration_channels.channel[1].calibration[1].calibrated_item.ci_revision,1,1,,
measurement_calibration_channels_channel_1__calibration_1__calibrated_item_ci_serial_number,str,measurement.calibration_channels.channel[1].calibration[1].calibrated_item.ci_serial_number,836820012,1,,
measurement_calibration_channels_channel_1__calibration_1__calibrated_item_ci_time,str,measurement.calibration_channels.channel[1].calibration[1].calibrated_item.ci_time,15-44-38,1,,
measurement_calibration_channels_channel_1__calibration_1__calibration_equipment_ce,str,measurement.calibration_channels.channel[1].calibration[1].calibration_equipment.ce,ADU-07,1,,
measurement_calibration_channels_channel_1__calibration_1__calibration_equipment_ce_contact_address,str,measurement.calibration_channels.channel[1].calibration[1].calibration_equipment.ce_contact_address,Kocher Str. 3; 38120 Braunschweig; Germany,1,,
measurement_calibration_channels_channel_1__calibration_1__calibration_equipment_ce_revision,str,measurement.calibration_channels.channel[1].calibration[1].calibration_equipment.ce_revision,1,1,,
measurement_calibration_channels_channel_1__calibration_1__calibration_equipment_ce_serial_number,str,measurement.calibration_channels.channel[1].calibration[1].calibration_equipment.ce_serial_number,51,1,,
measurement_calibration_channels_channel_1__calibration_1__creator,str,measurement.calibration_channels.channel[1].calibration[1].creator,MCP (ADU-07): 6.1.0.1.902,1,,
measurement_calibration_channels_channel_10__calibration_1__cal_version,str,measurement.calibration_channels.channel[10].calibration[1].cal_version,1,1,,
measurement_calibration_channels_channel_10__calibration_1__caldata_1__c0,str,measurement.calibration_channels.channel[10].calibration[1].caldata[1].c0,1,1,,
measurement_calibration_channels_channel_10__calibration_1__caldata_2__c0,str,measurement.calibration_channels.channel[10].calibration[1].caldata[2].c0,1.00443164,1,,
measurement_calibration_channels_channel_10__calibration_1__caldata_3__c0,str,measurement.calibration_channels.channel[10].calibration[1].caldata[3].c0,1,1,,
measurement_calibration_channels_channel_10__calibration_1__caldata_4__c0,str,measurement.calibration_channels.channel[10].calibration[1].caldata[4].c0,1.00555079,1,,
measurement_calibration_channels_channel_10__calibration_1__caldata_5__c0,str,measurement.calibration_channels.channel[10].calibration[1].caldata[5].c0,1.03178509,1,,
measurement_calibration_channels_channel_10__calibration_1__calibrated_item_ci,str,measurement.calibration_channels.channel[10].calibration[1].calibrated_item.ci,ADU-07-HF,1,,
measurement_calibration_channels_channel_10__calibration_1__calibrated_item_ci_calibration_valid_until,str,measurement.calibration_channels.channel[10].calibration[1].calibrated_item.ci_calibration_valid_until,2024-04-18 06-56-47,1,,
measurement_calibration_channels_channel_10__calibration_1__calibrated_item_ci_date,str,measurement.calibration_channels.channel[10].calibration[1].calibrated_item.ci_date,1/19/2024,1,,
measurement_calibration_channels_channel_10__calibration_1__calibrated_item_ci_manufacturer,str,measurement.calibration_channels.channel[10].calibration[1].calibrated_item.ci_manufacturer,Metronix,1,,
measurement_calibration_channels_channel_10__calibration_1__calibrated_item_ci_manufacturers_address,str,measurement.calibration_channels.channel[10].calibration[1].calibrated_item.ci_manufacturers_address,KocherStr. 3; 38120 Braunschweig; Germany,1,,
measurement_calibration_channels_channel_10__calibration_1__calibrated_item_ci_next_calibration,str,measurement.calibration_channels.channel[10].calibration[1].calibrated_item.ci_next_calibration,2024-04-18 06-56-47,1,,
measurement_calibration_channels_channel_10__calibration_1__calibrated_item_ci_revision,str,measurement.calibration_channels.channel[10].calibration[1].calibrated_item.ci_revision,1,1,,
measurement_calibration_channels_channel_10__calibration_1__calibrated_item_ci_serial_number,str,measurement.calibration_channels.channel[10].calibration[1].calibrated_item.ci_serial_number,1148820005,1,,
measurement_calibration_channels_channel_10__calibration_1__calibrated_item_ci_time,str,measurement.calibration_channels.channel[10].calibration[1].calibrated_item.ci_time,06-56-47,1,,
measurement_calibration_channels_channel_10__calibration_1__calibration_equipment_ce,str,measurement.calibration_channels.channel[10].calibration[1].calibration_equipment.ce,ADU-07,1,,
measurement_calibration_channels_channel_10__calibration_1__calibration_equipment_ce_contact_address,str,measurement.calibration_channels.channel[10].calibration[1].calibration_equipment.ce_contact_address,Kocher Str. 3; 38120 Braunschweig; Germany,1,,
measurement_calibration_channels_channel_10__calibration_1__calibration_equipment_ce_revision,str,measurement.calibration_channels.channel[10].calibration[1].calibration_equipment.ce_revision,1,1,,
measurement_calibration_channels_channel_10__calibration_1__calibration_equipment_ce_serial_number,str,measurement.calibration_channels.channel[10].calibration[1].calibration_equipment.ce_serial_number,221,1,,
measurement_calibration_channels_channel_10__calibration_1__creator,str,measurement.calibration_channels.channel[10].calibration[1].creator,MCP (ADU-07): 6.1.0.1.902,1,,
measurement_calibration_channels_channel_2__calibration_1__cal_version,str,measurement.calibration_channels.channel[2].calibration[1].cal_version,1,1,,
measurement_calibration_channels_channel_2__calibration_1__caldata_1__c0,str,measurement.calibration_channels.channel[2].calibration[1].caldata[1].c0,1,1,,
measurement_calibration_channels_channel_2__calibration_1__caldata_10__c0,str,measurement.calibration_channels.channel[2].calibration[1].caldata[10].c0,0.99945408,1,,
measurement_calibration_channels_channel_2__calibration_1__caldata_11__c0,str,measurement.calibration_channels.channel[2].calibration[1].caldata[11].c0,0.99957246,1,,
measurement_calibration_channels_channel_2__calibration_1__caldata_12__c0,str,measurement.calibration_channels.channel[2].calibration[1].caldata[12].c0,0.99923736,1,,
measurement_calibration_channels_channel_2__calibration_1__caldata_13__c0,str,measurement.calibration_channels.channel[2].calibration[1].caldata[13].c0,0.99940765,1,,
measurement_calibration_channels_channel_2__calibration_1__caldata_14__c0,str,measurement.calibration_channels.channel[2].calibration[1].caldata[14].c0,1.00016487,1,,
measurement_calibration_channels_channel_2__calibration_1__caldata_2__c0,str,measurement.calibration_channels.channel[2].calibration[1].caldata[2].c0,0.99981928,1,,
measurement_calibration_channels_channel_2__calibration_1__caldata_3__c0,str,measurement.calibration_channels.channel[2].calibration[1].caldata[3].c0,0.99993157,1,,
measurement_calibration_channels_channel_2__calibration_1__caldata_4__c0,str,measurement.calibration_channels.channel[2].calibration[1].caldata[4].c0,1.00009871,1,,
measurement_calibration_channels_channel_2__calibration_1__caldata_5__c0,str,measurement.calibration_channels.channel[2].calibration[1].caldata[5].c0,0.9997828,1,,
measurement_calibration_channels_channel_2__calibration_1__caldata_6__c0,str,measurement.calibration_channels.channel[2].calibration[1].caldata[6].c0,1.00027478,1,,
measurement_calibration_channels_channel_2__calibration_1__caldata_7__c0,str,measurement.calibration_channels.channel[2].calibration[1].caldata[7].c0,1.00146246,1,,
measurement_calibration_channels_channel_2__calibration_1__caldata_8__c0,str,measurement.calibration_channels.channel[2].calibration[1].caldata[8].c0,1,1,,
measurement_calibration_channels_channel_2__calibration_1__caldata_9__c0,str,measurement.calibration_channels.channel[2].calibration[1].caldata[9].c0,0.99945378,1,,
measurement_calibration_channels_channel_2__calibration_1__calibrated_item_ci,str,measurement.calibration_channels.channel[2].calibration[1].calibrated_item.ci,ADU-07-LF,1,,
measurement_calibration_channels_channel_2__calibration_1__calibrated_item_ci_calibration_valid_until,str,measurement.calibration_channels.channel[2].calibration[1].calibrated_item.ci_calibration_valid_until,2024-06-21 15-44-41,1,,
measurement_calibration_channels_channel_2__calibration_1__calibrated_item_ci_date,str,measurement.calibration_channels.channel[2].calibration[1].calibrated_item.ci_date,3/23/2024,1,,
measurement_calibration_channels_channel_2__calibration_1__calibrated_item_ci_manufacturer,str,measurement.calibration_channels.channel[2].calibration[1].calibrated_item.ci_manufacturer,Metronix,1,,
measurement_calibration_channels_channel_2__calibration_1__calibrated_item_ci_manufacturers_address,str,measurement.calibration_channels.channel[2].calibration[1].calibrated_item.ci_manufacturers_address,KocherStr. 3; 38120 Braunschweig; Germany,1,,
measurement_calibration_channels_channel_2__calibration_1__calibrated_item_ci_next_calibration,str,measurement.calibration_channels.channel[2].calibration[1].calibrated_item.ci_next_calibration,2024-06-21 15-44-41,1,,
measurement_calibration_channels_channel_2__calibration_1__calibrated_item_ci_revision,str,measurement.calibration_channels.channel[2].calibration[1].calibrated_item.ci_revision,1,1,,
measurement_calibration_channels_channel_2__calibration_1__calibrated_item_ci_serial_number,str,measurement.calibration_channels.channel[2].calibration[1].calibrated_item.ci_serial_number,836820009,1,,
measurement_calibration_channels_channel_2__calibration_1__calibrated_item_ci_time,str,measurement.calibration_channels.channel[2].calibration[1].calibrated_item.ci_time,15-44-41,1,,
measurement_calibration_channels_channel_2__calibration_1__calibration_equipment_ce,str,measurement.calibration_channels.channel[2].calibration[1].calibration_equipment.ce,ADU-07,1,,
measurement_calibration_channels_channel_2__calibration_1__calibration_equipment_ce_contact_address,str,measurement.calibration_channels.channel[2].calibration[1].calibration_equipment.ce_contact_address,Kocher Str. 3; 38120 Braunschweig; Germany,1,,
measurement_calibration_channels_channel_2__calibration_1__calibration_equipment_ce_revision,str,measurement.calibration_channels.channel[2].calibration[1].calibration_equipment.ce_revision,1,1,,
measurement_calibration_channels_channel_2__calibration_1__calibration_equipment_ce_serial_number,str,measurement.calibration_channels.channel[2].calibration[1].calibration_equipment.ce_serial_number,51,1,,
measurement_calibration_channels_channel_2__calibration_1__creator,str,measurement.calibration_channels.channel[2].calibration[1].creator,MCP (ADU-07): 6.1.0.1.902,1,,
measurement_calibration_channels_channel_3__calibration_1__cal_version,str,measurement.calibration_channels.channel[3].calibration[1].cal_version,1,1,,
measurement_calibration_channels_channel_3__calibration_1__caldata_1__c0,str,measurement.calibration_channels.channel[3].calibration[1].caldata[1].c0,1,1,,
measurement_calibration_channels_channel_3__calibration_1__caldata_10__c0,str,measurement.calibration_channels.channel[3].calibration[1].caldata[10].c0,0.99954242,1,,
measurement_calibration_channels_channel_3__calibration_1__caldata_11__c0,str,measurement.calibration_channels.channel[3].calibration[1].caldata[11].c0,0.99976236,1,,
measurement_calibration_channels_channel_3__calibration_1__caldata_12__c0,str,measurement.calibration_channels.channel[3].calibration[1].caldata[12].c0,0.99993521,1,,
measurement_calibration_channels_channel_3__calibration_1__caldata_13__c0,str,measurement.calibration_channels.channel[3].calibration[1].caldata[13].c0,0.9999727,1,,
measurement_calibration_channels_channel_3__calibration_1__caldata_14__c0,str,measurement.calibration_channels.channel[3].calibration[1].caldata[14].c0,1.00077903,1,,
measurement_calibration_channels_channel_3__calibration_1__caldata_2__c0,str,measurement.calibration_channels.channel[3].calibration[1].caldata[2].c0,0.99919343,1,,
measurement_calibration_channels_channel_3__calibration_1__caldata_3__c0,str,measurement.calibration_channels.channel[3].calibration[1].caldata[3].c0,0.99903727,1,,
measurement_calibration_channels_channel_3__calibration_1__caldata_4__c0,str,measurement.calibration_channels.channel[3].calibration[1].caldata[4].c0,0.99915546,1,,
measurement_calibration_channels_channel_3__calibration_1__caldata_5__c0,str,measurement.calibration_channels.channel[3].calibration[1].caldata[5].c0,0.99907345,1,,
measurement_calibration_channels_channel_3__calibration_1__caldata_6__c0,str,measurement.calibration_channels.channel[3].calibration[1].caldata[6].c0,0.99994391,1,,
measurement_calibration_channels_channel_3__calibration_1__caldata_7__c0,str,measurement.calibration_channels.channel[3].calibration[1].caldata[7].c0,1.00030112,1,,
measurement_calibration_channels_channel_3__calibration_1__caldata_8__c0,str,measurement.calibration_channels.channel[3].calibration[1].caldata[8].c0,1,1,,
measurement_calibration_channels_channel_3__calibration_1__caldata_9__c0,str,measurement.calibration_channels.channel[3].calibration[1].caldata[9].c0,0.99962562,1,,
measurement_calibration_channels_channel_3__calibration_1__calibrated_item_ci,str,measurement.calibration_channels.channel[3].calibration[1].calibrated_item.ci,ADU-07-LF,1,,
measurement_calibration_channels_channel_3__calibration_1__calibrated_item_ci_calibration_valid_until,str,measurement.calibration_channels.channel[3].calibration[1].calibrated_item.ci_calibration_valid_until,2024-06-21 15-44-44,1,,
measurement_calibration_channels_channel_3__calibration_1__calibrated_item_ci_date,str,measurement.calibration_channels.channel[3].calibration[1].calibrated_item.ci_date,3/23/2024,1,,
measurement_calibration_channels_channel_3__calibration_1__calibrated_item_ci_manufacturer,str,measurement.calibration_channels.channel[3].calibration[1].calibrated_item.ci_manufacturer,Metronix,1,,
measurement_calibration_channels_channel_3__calibration_1__calibrated_item_ci_manufacturers_address,str,measurement.calibration_channels.channel[3].calibration[1].calibrated_item.ci_manufacturers_address,KocherStr. 3; 38120 Braunschweig; Germany,1,,
measurement_calibration_channels_channel_3__calibration_1__calibrated_item_ci_next_calibration,str,measurement.calibration_channels.channel[3].calibration[1].calibrated_item.ci_next_calibration,2024-06-21 15-44-44,1,,
measurement_calibration_channels_channel_3__calibration_1__calibrated_item_ci_revision,str,measurement.calibration_channels.channel[3].calibration[1].calibrated_item.ci_revision,1,1,,
measurement_calibration_channels_channel_3__calibration_1__calibrated_item_ci_serial_number,str,measurement.calibration_channels.channel[3].calibration[1].calibrated_item.ci_serial_number,831820126,1,,
measurement_calibration_channels_channel_3__calibration_1__calibrated_item_ci_time,str,measurement.calibration_channels.channel[3].calibration[1].calibrated_item.ci_time,15-44-44,1,,
measurement_calibration_channels_channel_3__calibration_1__calibration_equipment_ce,str,measurement.calibration_channels.channel[3].calibration[1].calibration_equipment.ce,ADU-07,1,,
measurement_calibration_channels_channel_3__calibration_1__calibration_equipment_ce_contact_address,str,measurement.calibration_channels.channel[3].calibration[1].calibration_equipment.ce_contact_address,Kocher Str. 3; 38120 Braunschweig; Germany,1,,
measurement_calibration_channels_channel_3__calibration_1__calibration_equipment_ce_revision,str,measurement.calibration_channels.channel[3].calibration[1].calibration_equipment.ce_revision,1,1,,
measurement_calibration_channels_channel_3__calibration_1__calibration_equipment_ce_serial_number,str,measurement.calibration_channels.channel[3].calibration[1].calibration_equipment.ce_serial_number,51,1,,
measurement_calibration_channels_channel_3__calibration_1__creator,str,measurement.calibration_channels.channel[3].calibration[1].creator,MCP (ADU-07): 6.1.0.1.902,1,,
